Province,District,Local Level Name,Type
Bagmati,CHITAWAN,Bharatpur Metropolitian City,Metropolitian City
Bagmati,CHITAWAN,Kalika Municipality,Municipality
Bagmati,CHITAWAN,Khairahani Municipality,Municipality
Bagmati,CHITAWAN,Madi Municipality,Municipality
Bagmati,CHITAWAN,Rapti Municipality,Municipality
Bagmati,CHITAWAN,Ratnanagar Municipality,Municipality
Gandaki,GORKHA,Gandaki Rural Municipality,Rural Municipality
Gandaki,GORKHA,Dharche Rural Municipality,Rural Municipality
Gandaki,GORKHA,Aarughat Rural Municipality,Rural Municipality
Gandaki,GORKHA,Ajirkot Rural Municipality,Rural Municipality
Gandaki,GORKHA,Sahid Lakhan Rural Municipality,Rural Municipality
Gandaki,GORKHA,Siranchok Rural Municipality,Rural Municipality
Gandaki,GORKHA,Bhimsenthapa Rural Municipality,Rural Municipality
Gandaki,GORKHA,Chum Nubri Rural Municipality,Rural Municipality
Gandaki,GORKHA,Barpak Sulikot Rural Municipality,Rural Municipality
Gandaki,GORKHA,Palungtar Municipality,Municipality
Gandaki,GORKHA,Gorkha Municipality,Municipality
Gandaki,MANANG,Chame Rural Municipality,Rural Municipality
Gandaki,MANANG,Narshon Rural Municipality,Rural Municipality
Gandaki,MANANG,Narpa Bhumi Rural Municipality,Rural Municipality
Gandaki,MANANG,Manang Ingshyang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Thasang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Gharapjhong Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Lomanthang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Lo-Ghekar Damodarkunda Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Waragung Muktikhsetra Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Mangala Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Malika Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Raghuganga Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Dhaulagiri Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Annapurna Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Beni Municipality,Municipality
Gandaki,KASKI,Rupa Rural Municipality,Rural Municipality
Gandaki,KASKI,Madi Rural Municipality,Rural Municipality
Gandaki,KASKI,Annapurna Rural Municipality,Rural Municipality
Gandaki,KASKI,Machhapuchchhre Rural Municipality,Rural Municipality
Gandaki,KASKI,Pokhara Metropolitian City,Metropolitian City
Gandaki,LAMJUNG,Dordi Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Dudhpokhari Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Marsyangdi Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Kwholasothar Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Sundarbazar Municipality,Municipality
Gandaki,LAMJUNG,Besishahar Municipality,Municipality
Gandaki,LAMJUNG,Rainas Municipality,Municipality
Gandaki,LAMJUNG,MadhyaNepal Municipality,Municipality
Gandaki,TANAHU,Ghiring Rural Municipality,Rural Municipality
Gandaki,TANAHU,Devghat Rural Municipality,Rural Municipality
Gandaki,TANAHU,Rhishing Rural Municipality,Rural Municipality
Gandaki,TANAHU,Myagde Rural Municipality,Rural Municipality
Gandaki,TANAHU,Bandipur Rural Municipality,Rural Municipality
Gandaki,TANAHU,Anbukhaireni Rural Municipality,Rural Municipality
Gandaki,TANAHU,Byas Municipality,Municipality
Gandaki,TANAHU,Shuklagandaki Municipality,Municipality
Gandaki,TANAHU,Bhimad Municipality,Municipality
Gandaki,TANAHU,Bhanu Municipality,Municipality
Gandaki,NAWALPARASI EAST,Baudeekali Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Bulingtar Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Hupsekot Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Binayee Tribeni Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Madhyabindu Municipality,Municipality
Gandaki,NAWALPARASI EAST,Devchuli Municipality,Municipality
Gandaki,NAWALPARASI EAST,Gaidakot Municipality,Municipality
Gandaki,NAWALPARASI EAST,Kawasoti Municipality,Municipality
Gandaki,SYANGJA,Harinas Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Biruwa Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Aandhikhola Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Phedikhola Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Kaligandagi Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Arjunchaupari Rural Municipality,Rural Municipality
Gandaki,SYANGJA,Putalibazar Municipality,Municipality
Gandaki,SYANGJA,Bhirkot Municipality,Municipality
Gandaki,SYANGJA,Galyang Municipality,Municipality
Gandaki,SYANGJA,Chapakot Municipality,Municipality
Gandaki,SYANGJA,Waling Municipality,Municipality
Gandaki,PARBAT,Modi Rural Municipality,Rural Municipality
Gandaki,PARBAT,Painyu Rural Municipality,Rural Municipality
Gandaki,PARBAT,Jaljala Rural Municipality,Rural Municipality
Gandaki,PARBAT,Bihadi Rural Municipality,Rural Municipality
Gandaki,PARBAT,Mahashila Rural Municipality,Rural Municipality
Gandaki,PARBAT,Kushma Municipality,Municipality
Gandaki,PARBAT,Phalebas Municipality,Municipality
Gandaki,BAGLUNG,Bareng Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Badigad Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Nisikhola Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Kanthekhola Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Tara Khola Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Taman Khola Rural Municipality,Rural Municipality
Gandaki,BAGLUNG,Jaimuni Municipality,Municipality
Gandaki,BAGLUNG,Baglung Municipality,Municipality
Gandaki,BAGLUNG,Galkot Municipality,Municipality
Gandaki,BAGLUNG,Dhorpatan Municipality,Municipality
5,RUKUM EAST,Bhume Rural Municipality,Rural Municipality
5,RUKUM EAST,Sisne Rural Municipality,Rural Municipality
5,RUKUM EAST,Putha Uttarganga Rural Municipality,Rural Municipality
5,ROLPA,Madi Rural Municipality,Rural Municipality
5,ROLPA,Thawang Rural Municipality,Rural Municipality
5,ROLPA,Sunchhahari Rural Municipality,Rural Municipality
5,ROLPA,Lungri Rural Municipality,Rural Municipality
5,ROLPA,Gangadev Rural Municipality,Rural Municipality
5,ROLPA,Tribeni Rural Municipality,Rural Municipality
5,ROLPA,Pariwartan Rural Municipality,Rural Municipality
5,ROLPA,Runtigadi Rural Municipality,Rural Municipality
5,ROLPA,Sunil Smriti Rural Municipality,Rural Municipality
5,ROLPA,Rolpa Municipality,Municipality
5,PYUTHAN,Ayirabati Rural Municipality,Rural Municipality
5,PYUTHAN,Gaumukhi Rural Municipality,Rural Municipality
5,PYUTHAN,Jhimruk Rural Municipality,Rural Municipality
5,PYUTHAN,Naubahini Rural Municipality,Rural Municipality
5,PYUTHAN,Mandavi Rural Municipality,Rural Municipality
5,PYUTHAN,Mallarani Rural Municipality,Rural Municipality
5,PYUTHAN,Sarumarani Rural Municipality,Rural Municipality
5,PYUTHAN,Pyuthan Municipality,Municipality
5,PYUTHAN,Sworgadwary Municipality,Municipality
5,GULMI,Ruru Rural Municipality,Rural Municipality
5,GULMI,Isma Rural Municipality,Rural Municipality
5,GULMI,Madane Rural Municipality,Rural Municipality
5,GULMI,Malika Rural Municipality,Rural Municipality
5,GULMI,Chatrakot Rural Municipality,Rural Municipality
5,GULMI,Dhurkot Rural Municipality,Rural Municipality
5,GULMI,Satyawati Rural Municipality,Rural Municipality
5,GULMI,Chandrakot Rural Municipality,Rural Municipality
5,GULMI,Kaligandaki Rural Municipality,Rural Municipality
5,GULMI,Gulmidarbar Rural Municipality,Rural Municipality
5,GULMI,Resunga Municipality,Municipality
5,GULMI,Musikot Municipality,Municipality
5,ARGHAKHANCHI,Panini Rural Municipality,Rural Municipality
5,ARGHAKHANCHI,Chhatradev Rural Municipality,Rural Municipality
5,ARGHAKHANCHI,Malarani Rural Municipality,Rural Municipality
5,ARGHAKHANCHI,Bhumekasthan Municipality,Municipality
5,ARGHAKHANCHI,Sitganga Municipality,Municipality
5,ARGHAKHANCHI,Sandhikharka Municipality,Municipality
5,PALPA,Rambha Rural Municipality,Rural Municipality
5,PALPA,Tinau Rural Municipality,Rural Municipality
5,PALPA,Nisdi Rural Municipality,Rural Municipality
5,PALPA,Mathagadhi Rural Municipality,Rural Municipality
5,PALPA,Ribdikot Rural Municipality,Rural Municipality
5,PALPA,Purbakhola Rural Municipality,Rural Municipality
5,PALPA,Bagnaskali Rural Municipality,Rural Municipality
5,PALPA,Rainadevi Chhahara Rural Municipality,Rural Municipality
5,PALPA,Tansen Municipality,Municipality
5,PALPA,Rampur Municipality,Municipality
5,NAWALPARASI WEST,Sarawal Rural Municipality,Rural Municipality
5,NAWALPARASI WEST,Susta Rural Municipality,Rural Municipality
5,NAWALPARASI WEST,Pratappur Rural Municipality,Rural Municipality
5,NAWALPARASI WEST,Palhi Nandan Rural Municipality,Rural Municipality
5,NAWALPARASI WEST,Bardaghat Municipality,Municipality
5,NAWALPARASI WEST,Sunwal Municipality,Municipality
5,NAWALPARASI WEST,Ramgram Municipality,Municipality
5,RUPANDEHI,Kanchan Rural Municipality,Rural Municipality
5,RUPANDEHI,Siyari Rural Municipality,Rural Municipality
5,RUPANDEHI,Rohini Rural Municipality,Rural Municipality
5,RUPANDEHI,Gaidahawa Rural Municipality,Rural Municipality
5,RUPANDEHI,Omsatiya Rural Municipality,Rural Municipality
5,RUPANDEHI,Sudhdhodhan Rural Municipality,Rural Municipality
5,RUPANDEHI,Mayadevi Rural Municipality,Rural Municipality
5,RUPANDEHI,Marchawari Rural Municipality,Rural Municipality
5,RUPANDEHI,Kotahimai Rural Municipality,Rural Municipality
5,RUPANDEHI,Sammarimai Rural Municipality,Rural Municipality
5,RUPANDEHI,Butwal Sub-Metropolitian City,Sub-Metropolitian City
5,RUPANDEHI,Lumbini Sanskritik Municipality,Municipality
5,RUPANDEHI,Devdaha Municipality,Municipality
5,RUPANDEHI,Sainamaina Municipality,Municipality
5,RUPANDEHI,Siddharthanagar Municipality,Municipality
5,RUPANDEHI,Tillotama Municipality,Municipality
5,KAPILBASTU,Yashodhara Rural Municipality,Rural Municipality
5,KAPILBASTU,Bijayanagar Rural Municipality,Rural Municipality
5,KAPILBASTU,Mayadevi Rural Municipality,Rural Municipality
5,KAPILBASTU,Suddhodhan Rural Municipality,Rural Municipality
5,KAPILBASTU,Shivaraj Municipality,Municipality
5,KAPILBASTU,Kapilbastu Municipality,Municipality
5,KAPILBASTU,Buddhabhumi Municipality,Municipality
5,KAPILBASTU,Maharajgunj Municipality,Municipality
5,KAPILBASTU,Banganga Municipality,Municipality
5,KAPILBASTU,Krishnanagar Municipality,Municipality
5,DANG,Babai Rural Municipality,Rural Municipality
5,DANG,Gadhawa Rural Municipality,Rural Municipality
5,DANG,Rapti Rural Municipality,Rural Municipality
5,DANG,Rajpur Rural Municipality,Rural Municipality
5,DANG,Dangisharan Rural Municipality,Rural Municipality
5,DANG,Shantinagar Rural Municipality,Rural Municipality
5,DANG,Banglachuli Rural Municipality,Rural Municipality
5,DANG,Tulsipur Sub-Metropolitian City,Sub-Metropolitian City
5,DANG,Ghorahi Sub-Metropolitian City,Sub-Metropolitian City
5,DANG,Lamahi Municipality,Municipality
5,BANKE,Khajura Rural Municipality,Rural Municipality
5,BANKE,Janki Rural Municipality,Rural Municipality
5,BANKE,Baijanath Rural Municipality,Rural Municipality
5,BANKE,Duduwa Rural Municipality,Rural Municipality
5,BANKE,Narainapur Rural Municipality,Rural Municipality
5,BANKE,Rapti Sonari Rural Municipality,Rural Municipality
5,BANKE,Kohalpur Municipality,Municipality
5,BANKE,Nepalgunj Sub-Metropolitian City,Sub-Metropolitian City
5,BARDIYA,Geruwa Rural Municipality,Rural Municipality
5,BARDIYA,Badhaiyatal Rural Municipality,Rural Municipality
5,BARDIYA,Thakurbaba Municipality,Municipality
5,BARDIYA,Bansagadhi Municipality,Municipality
5,BARDIYA,Barbardiya Municipality,Municipality
5,BARDIYA,Rajapur Municipality,Municipality
5,BARDIYA,Madhuwan Municipality,Municipality
5,BARDIYA,Gulariya Municipality,Municipality
Karnali,DOLPA,Kaike Rural Municipality,Rural Municipality
Karnali,DOLPA,Jagadulla Rural Municipality,Rural Municipality
Karnali,DOLPA,Mudkechula Rural Municipality,Rural Municipality
Karnali,DOLPA,Dolpo Buddha Rural Municipality,Rural Municipality
Karnali,DOLPA,Shey Phoksundo Rural Municipality,Rural Municipality
Karnali,DOLPA,Chharka Tangsong Rural Municipality,Rural Municipality
Karnali,DOLPA,Tripurasundari Municipality,Municipality
Karnali,DOLPA,Thuli Bheri Municipality,Municipality
Karnali,MUGU,Soru Rural Municipality,Rural Municipality
Karnali,MUGU,Khatyad Rural Municipality,Rural Municipality
Karnali,MUGU,Mugum Karmarong Rural Municipality,Rural Municipality
Karnali,MUGU,Chhayanath Rara Municipality,Municipality
Karnali,HUMLA,Simkot Rural Municipality,Rural Municipality
Karnali,HUMLA,Namkha Rural Municipality,Rural Municipality
Karnali,HUMLA,Chankheli Rural Municipality,Rural Municipality
Karnali,HUMLA,Tanjakot Rural Municipality,Rural Municipality
Karnali,HUMLA,Sarkegad Rural Municipality,Rural Municipality
Karnali,HUMLA,Adanchuli Rural Municipality,Rural Municipality
Karnali,HUMLA,Kharpunath Rural Municipality,Rural Municipality
Karnali,JUMLA,Hima Rural Municipality,Rural Municipality
Karnali,JUMLA,Tila Rural Municipality,Rural Municipality
Karnali,JUMLA,Sinja Rural Municipality,Rural Municipality
Karnali,JUMLA,Guthichaur Rural Municipality,Rural Municipality
Karnali,JUMLA,Tatopani Rural Municipality,Rural Municipality
Karnali,JUMLA,Patrasi Rural Municipality,Rural Municipality
Karnali,JUMLA,Kanakasundari Rural Municipality,Rural Municipality
Karnali,JUMLA,Chandannath Municipality,Municipality
Karnali,KALIKOT,Mahawai Rural Municipality,Rural Municipality
Karnali,KALIKOT,Palata Rural Municipality,Rural Municipality
Karnali,KALIKOT,Naraharinath Rural Municipality,Rural Municipality
Karnali,KALIKOT,Pachaljharana Rural Municipality,Rural Municipality
Karnali,KALIKOT,Subha Kalika Rural Municipality,Rural Municipality
Karnali,KALIKOT,Sanni Tribeni Rural Municipality,Rural Municipality
Karnali,KALIKOT,Khandachakra Municipality,Municipality
Karnali,KALIKOT,Raskot Municipality,Municipality
Karnali,KALIKOT,Tilagufa Municipality,Municipality
Karnali,DAILEKH,Bhairabi Rural Municipality,Rural Municipality
Karnali,DAILEKH,Mahabu Rural Municipality,Rural Municipality
Karnali,DAILEKH,Gurans Rural Municipality,Rural Municipality
Karnali,DAILEKH,Naumule Rural Municipality,Rural Municipality
Karnali,DAILEKH,Bhagawatimai Rural Municipality,Rural Municipality
Karnali,DAILEKH,Thantikandh Rural Municipality,Rural Municipality
Karnali,DAILEKH,Dungeshwor Rural Municipality,Rural Municipality
Karnali,DAILEKH,Aathabis Municipality,Municipality
Karnali,DAILEKH,Dullu Municipality,Municipality
Karnali,DAILEKH,Chamunda Bindrasaini Municipality,Municipality
Karnali,DAILEKH,Narayan Municipality,Municipality
Karnali,JAJARKOT,Kuse Rural Municipality,Rural Municipality
Karnali,JAJARKOT,Shiwalaya Rural Municipality,Rural Municipality
Karnali,JAJARKOT,Barekot Rural Municipality,Rural Municipality
Karnali,JAJARKOT,Junichande Rural Municipality,Rural Municipality
Karnali,JAJARKOT,Nalagad Municipality,Municipality
Karnali,JAJARKOT,Bheri Municipality,Municipality
Karnali,JAJARKOT,Chhedagad Municipality,Municipality
Karnali,RUKUM WEST,Tribeni Rural Municipality,Rural Municipality
Karnali,RUKUM WEST,Sani Bheri Rural Municipality,Rural Municipality
Karnali,RUKUM WEST,Banfikot Rural Municipality,Rural Municipality
Karnali,RUKUM WEST,Aathbiskot Municipality,Municipality
Karnali,RUKUM WEST,Chaurjahari Municipality,Municipality
Karnali,RUKUM WEST,Musikot Municipality,Municipality
Karnali,SALYAN,Kumakh Rural Municipality,Rural Municipality
Karnali,SALYAN,Darma Rural Municipality,Rural Municipality
Karnali,SALYAN,Kapurkot Rural Municipality,Rural Municipality
Karnali,SALYAN,Kalimati Rural Municipality,Rural Municipality
Karnali,SALYAN,Tribeni Rural Municipality,Rural Municipality
Karnali,SALYAN,Chhatreshwori Rural Municipality,Rural Municipality
Karnali,SALYAN,Siddha Kumakh Rural Municipality,Rural Municipality
Karnali,SALYAN,Sharada Municipality,Municipality
Karnali,SALYAN,Bangad Kupinde Municipality,Municipality
Karnali,SALYAN,Bagchaur Municipality,Municipality
Karnali,SURKHET,Chaukune Rural Municipality,Rural Municipality
Karnali,SURKHET,Simta Rural Municipality,Rural Municipality
Karnali,SURKHET,Chingad Rural Municipality,Rural Municipality
Karnali,SURKHET,Barahtal Rural Municipality,Rural Municipality
Karnali,SURKHET,Gurbhakot Municipality,Municipality
Karnali,SURKHET,Panchpuri Municipality,Municipality
Karnali,SURKHET,Bheriganga Municipality,Municipality
Karnali,SURKHET,Lekbeshi Municipality,Municipality
Karnali,SURKHET,Birendranagar Municipality,Municipality
Sudurpaschim,BAJURA,Gaumul Rural Municipality,Rural Municipality
Sudurpaschim,BAJURA,Himali Rural Municipality,Rural Municipality
Sudurpaschim,BAJURA,Jagannath Rural Municipality,Rural Municipality
Sudurpaschim,BAJURA,Khaptad Chhededaha Rural Municipality,Rural Municipality
Sudurpaschim,BAJURA,Swami Kartik Khaapar Rural Municipality,Rural Municipality
Sudurpaschim,BAJURA,Badimalika Municipality,Municipality
Sudurpaschim,BAJURA,Tribeni Municipality,Municipality
Sudurpaschim,BAJURA,Budhiganga Municipality,Municipality
Sudurpaschim,BAJURA,Budhinanda Municipality,Municipality
Sudurpaschim,BAJHANG,Masta Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Thalara Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Talkot Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Surma Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,SaiPaal Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Durgathali Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Bithadchir Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Kedarseu Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Khaptadchhanna Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,Chabispathivera Rural Municipality,Rural Municipality
Sudurpaschim,BAJHANG,JayaPrithivi Municipality,Municipality
Sudurpaschim,BAJHANG,Bungal Municipality,Municipality
Sudurpaschim,DARCHULA,Lekam Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Naugad Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Byas Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Dunhu Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Marma Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Apihimal Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Malikaarjun Rural Municipality,Rural Municipality
Sudurpaschim,DARCHULA,Mahakali Municipality,Municipality
Sudurpaschim,DARCHULA,Shailyashikhar Municipality,Municipality
Sudurpaschim,BAITADI,Sigas Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Shivanath Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Surnaya Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Dilasaini Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Pancheshwar Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Dogadakedar Rural Municipality,Rural Municipality
Sudurpaschim,BAITADI,Melauli Municipality,Municipality
Sudurpaschim,BAITADI,Dasharathchanda Municipality,Municipality
Sudurpaschim,BAITADI,Purchaudi Municipality,Municipality
Sudurpaschim,BAITADI,Patan Municipality,Municipality
Sudurpaschim,DADELDHURA,Alital Rural Municipality,Rural Municipality
Sudurpaschim,DADELDHURA,Ajaymeru Rural Municipality,Rural Municipality
Sudurpaschim,DADELDHURA,Bhageshwar Rural Municipality,Rural Municipality
Sudurpaschim,DADELDHURA,Nawadurga Rural Municipality,Rural Municipality
Sudurpaschim,DADELDHURA,Ganayapdhura Rural Municipality,Rural Municipality
Sudurpaschim,DADELDHURA,Amargadhi Municipality,Municipality
Sudurpaschim,DADELDHURA,Parashuram Municipality,Municipality
Sudurpaschim,DOTI,Sayal Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Adharsha Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Jorayal Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Badikedar Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Purbichauki Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,K I Singh Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Bogtan Foodsil Rural Municipality,Rural Municipality
Sudurpaschim,DOTI,Dipayal Silgadi Municipality,Municipality
Sudurpaschim,DOTI,Shikhar Municipality,Municipality
Sudurpaschim,ACHHAM,Dhakari Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Mellekh Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Chaurpati Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Ramaroshan Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Turmakhad Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Bannigadhi Jayagadh Rural Municipality,Rural Municipality
Sudurpaschim,ACHHAM,Sanphebagar Municipality,Municipality
Sudurpaschim,ACHHAM,Mangalsen Municipality,Municipality
Sudurpaschim,ACHHAM,Kamalbazar Municipality,Municipality
Sudurpaschim,ACHHAM,Panchadewal Binayak Municipality,Municipality
Sudurpaschim,KAILALI,Chure Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Janaki Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Kailari Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Joshipur Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Mohanyal Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Bardagoriya Rural Municipality,Rural Municipality
Sudurpaschim,KAILALI,Tikapur Municipality,Municipality
Sudurpaschim,KAILALI,Ghodaghodi Municipality,Municipality
Sudurpaschim,KAILALI,Bhajani Municipality,Municipality
Sudurpaschim,KAILALI,Dhangadhi Sub-Metropolitian City,Sub-Metropolitian City
Sudurpaschim,KAILALI,Gauriganga Municipality,Municipality
Sudurpaschim,KAILALI,Godawari Municipality,Municipality
Sudurpaschim,KAILALI,Lamkichuha Municipality,Municipality
Sudurpaschim,KANCHANPUR,Beldandi Rural Municipality,Rural Municipality
Sudurpaschim,KANCHANPUR,Laljhadi Rural Municipality,Rural Municipality
Sudurpaschim,KANCHANPUR,Punarbas Municipality,Municipality
Sudurpaschim,KANCHANPUR,Krishnapur Municipality,Municipality
Sudurpaschim,KANCHANPUR,Mahakali Municipality,Municipality
Sudurpaschim,KANCHANPUR,Bedkot Municipality,Municipality
Sudurpaschim,KANCHANPUR,Belauri Municipality,Municipality
Sudurpaschim,KANCHANPUR,Bhimdatta Municipality,Municipality
Sudurpaschim,KANCHANPUR,Shuklaphanta Municipality,Municipality
